"codigodpto","dpto","codigompio","mpio","dimension","value","year","fuente","unidad"
"66","Risaralda","66170","Dosquebradas","Medición de desempeño municipal",61.21,"2018","DNP - SPT","Puntos"
"66","Risaralda","66318","Guática","Medición de desempeño municipal",47.13,"2018","DNP - SPT","Puntos"
"66","Risaralda","66383","La Celia","Medición de desempeño municipal",44.57,"2018","DNP - SPT","Puntos"
"66","Risaralda","66400","La Virginia","Medición de desempeño municipal",49.16,"2018","DNP - SPT","Puntos"
"66","Risaralda","66440","Marsella","Medición de desempeño municipal",43.14,"2018","DNP - SPT","Puntos"
"66","Risaralda","66456","Mistrató","Medición de desempeño municipal",47.55,"2018","DNP - SPT","Puntos"
"66","Risaralda","66572","Pueblo Rico","Medición de desempeño municipal",51.64,"2018","DNP - SPT","Puntos"
"66","Risaralda","66594","Quinchía","Medición de desempeño municipal",58.17,"2018","DNP - SPT","Puntos"
"66","Risaralda","66682","Santa Rosa de Cabal","Medición de desempeño municipal",63.93,"2018","DNP - SPT","Puntos"
"66","Risaralda","66687","Santuario","Medición de desempeño municipal",51.85,"2018","DNP - SPT","Puntos"
"63","Quindío","63690","Salento","Medición de desempeño municipal",64.84,"2018","DNP - SPT","Puntos"
"63","Quindío","63594","Quimbaya","Medición de desempeño municipal",55.34,"2018","DNP - SPT","Puntos"
"63","Quindío","63001","Armenia","Medición de desempeño municipal",72.99,"2018","DNP - SPT","Puntos"
"63","Quindío","63111","Buenavista","Medición de desempeño municipal",61.34,"2018","DNP - SPT","Puntos"
"63","Quindío","63130","Calarcá","Medición de desempeño municipal",60.01,"2018","DNP - SPT","Puntos"
"63","Quindío","63190","Circasia","Medición de desempeño municipal",56.12,"2018","DNP - SPT","Puntos"
"63","Quindío","63212","Córdoba","Medición de desempeño municipal",54.9,"2018","DNP - SPT","Puntos"
"63","Quindío","63272","Filandia","Medición de desempeño municipal",62.45,"2018","DNP - SPT","Puntos"
"63","Quindío","63302","Génova","Medición de desempeño municipal",57.78,"2018","DNP - SPT","Puntos"
"63","Quindío","63401","La Tebaida","Medición de desempeño municipal",52.27,"2018","DNP - SPT","Puntos"
"63","Quindío","63470","Montenegro","Medición de desempeño municipal",62.62,"2018","DNP - SPT","Puntos"
"63","Quindío","63548","Pijao","Medición de desempeño municipal",46.21,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54250","El Tarra","Medición de desempeño municipal",48.46,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54261","El Zulia","Medición de desempeño municipal",56.68,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54313","Gramalote","Medición de desempeño municipal",39.75,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54344","Hacarí","Medición de desempeño municipal",47.89,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54347","Herrán","Medición de desempeño municipal",46.14,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54377","Labateca","Medición de desempeño municipal",36.2,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54385","La Esperanza","Medición de desempeño municipal",56.35,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54398","La Playa","Medición de desempeño municipal",36.28,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54405","Los Patios","Medición de desempeño municipal",32.41,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54418","Lourdes","Medición de desempeño municipal",51.87,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54480","Mutiscua","Medición de desempeño municipal",56.34,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54498","Ocaña","Medición de desempeño municipal",54.69,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54518","Pamplona","Medición de desempeño municipal",49.39,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54520","Pamplonita","Medición de desempeño municipal",57.05,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54553","Puerto Santander","Medición de desempeño municipal",39.48,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54599","Ragonvalia","Medición de desempeño municipal",44.96,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54660","Salazar","Medición de desempeño municipal",50.76,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54670","San Calixto","Medición de desempeño municipal",36.44,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54673","San Cayetano","Medición de desempeño municipal",51.16,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54680","Santiago","Medición de desempeño municipal",46.54,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54720","Sardinata","Medición de desempeño municipal",27.62,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54743","Silos","Medición de desempeño municipal",51.62,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54800","Teorama","Medición de desempeño municipal",50.84,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54810","Tibú","Medición de desempeño municipal",50.72,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54820","Toledo","Medición de desempeño municipal",55.44,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54871","Villa Caro","Medición de desempeño municipal",45.28,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54874","Villa del Rosario","Medición de desempeño municipal",54.92,"2018","DNP - SPT","Puntos"
