"iso3","year","df_ha","gdp_perc","food_exports","exports_gdp","food_infl","pop_growth","gdp_growth","foreing_invest","tmp_change"
"BRA",2007,1900000,13565,26.32,13.3277,6.77824,1.03786,6.06987,45000000000,0.971
"BRA",2004,2000000,12316.4,27.8817,16.5458,4.0176,1.20129,5.75996,18000000000,0.766
"BRA",2010,2000000,14873.2,30.3358,10.8656,6.08787,0.937959,7.52823,82000000000,1.099
"BRA",2015,2200000,15064.2,37.9779,12.9002,9.77808,0.838839,-3.54576,65000000000,1.587
"BRA",2014,1200000,15749.5,35.6523,11.0119,7.51264,0.855796,0.503956,88000000000,1.157
"BRA",2008,2700000,14115,27.7025,13.534,13.0488,0.994311,5.0942,51000000000,0.72
"BRA",2012,2500000,15478.8,32.3415,11.8775,8.10944,0.893525,1.92118,93000000000,1.006
"BRA",2011,2000000,15323.3,30.4909,11.5825,8.86826,0.915965,3.97442,100000000000,0.782
"BRA",2018,944956,14668.3,34.6388,14.635,0.894729,0.783844,1.78367,78000000000,1.168
"BRA",2006,2300000,12922.2,24.92,14.3743,0.025114,1.09019,3.96199,19000000000,0.778
"BRA",2016,2700000,14451.2,37.8782,12.4667,12.5152,0.823752,-3.27592,74000000000,1.477
"BRA",2009,897906,13962.3,34.1353,10.8514,5.88749,0.961947,-0.125812,31000000000,0.942
"BRA",2017,3100000,14524.6,36.1004,12.519,0.949267,0.807145,1.32287,69000000000,1.375
"BRA",2013,990219,15805.2,35.297,11.7422,11.2062,0.873606,3.00482,75000000000,0.921
"BRN",2004,625,70616.6,0.040069,68.799,0.503782,1.72272,0.504318,110000000,0.512
"BRN",2005,612.5,69787.8,NA,70.1684,1.00497,1.56736,0.387507,180000000,0.867
"BRN",2006,687.5,71843.5,0.089094,71.7247,0.387599,1.40067,4.39772,88000000,0.535
"BRN",2007,1106.25,71051.7,0.064234,67.8528,1.30955,1.26272,0.154582,260000000,0.547
"BRN",2008,993.75,68856.2,0.035135,78.2992,3.71609,1.18005,-1.93971,220000000,0.283
"BRN",2009,1731.25,66851.1,0.023647,72.7832,2.8541,1.17488,-1.76454,330000000,0.684
"BRN",2010,1450,67753.4,0.037291,67.4075,0.074249,1.22507,2.59897,480000000,0.755
"BRN",2011,1687.5,69388.8,0.0376,69.5061,0.009299,1.29182,3.74532,690000000,0.433
"BRN",2012,831.25,69090.3,0.046359,70.1613,-0.0015,1.33977,0.912842,860000000,0.681
"BRN",2013,706.25,66715.7,0.160572,68.0419,0.105744,1.34852,-2.12603,780000000,0.874
"BRN",2014,2706.25,64190.8,0.389846,68.1771,-0.224583,1.31764,-2.50835,570000000,0.815
"BRN",2015,1356.25,63147.5,0.111828,52.2106,0.906128,1.24557,-0.392384,170000000,1.102
"BRN",2016,1950,60867.3,0.167621,49.5769,-0.509942,1.16857,-2.47792,-150000000,1.581
"BRN",2017,1068.75,60994.5,0.192165,49.5732,0.280608,1.11103,1.3286,470000000,1.128
"BRN",2018,325,60389.2,0.087582,51.9323,1.9141,1.04964,0.052238,520000000,1.07
"BWA",2004,93.75,11305.6,2.49355,49.6138,7.68794,1.77986,2.70582,390000000,0.252
"BWA",2005,300,11600.3,2.5792,52.9236,5.07677,1.88211,4.55665,420000000,1.404
"BWA",2006,31.25,12318.4,2.6779,52.2545,9.30483,2.02671,8.36387,490000000,-0.418
"BWA",2007,175,13056.7,2.82428,54.5161,11.8242,2.13121,8.27676,490000000,0.414
"BWA",2008,81.25,13581.2,2.8433,45.674,16.2906,2.11968,6.24544,520000000,0.358
"BWA",2009,131.25,12298.8,5.03315,34.8009,18.2987,1.95704,-7.65231,210000000,-0.058
"BWA",2010,125,13126.2,5.16522,43.6355,11.3627,1.70592,8.56363,220000000,1.173
"BWA",2011,281.25,13724.7,2.37672,49.9505,6.86103,1.41414,6.04836,290000000,0.377
"BWA",2012,893.75,14166.5,2.0904,49.2507,7.95801,1.1909,4.45614,150000000,0.809
"BWA",2013,87.5,15597.6,2.34493,61.5226,5.42325,1.12139,11.3434,67000000,1.071
"BWA",2014,25,16042.1,1.88058,60.5603,3.03091,1.25595,4.14926,520000000,0.207
"BWA",2015,56.25,14895.9,2.2849,52.9032,1.33407,1.52507,-5.71768,380000000,1.949
"BWA",2016,137.5,15654.7,1.70376,54.6114,2.69146,1.83197,7.0369,140000000,1.837
"BWA",2017,12.5,15948,1.75525,42.9647,3.45278,2.06885,4.00345,260000000,0.367
"BWA",2018,818.75,16222.4,1.89136,44.5358,-0.512268,2.19742,3.9804,290000000,1.059
