"","iso3","continent","year","df_ha","gdp_perc","food_exports","exports_gdp","food_infl","pop_growth","gdp_growth","foreing_invest","tmp_change"
"216","CHL","latin",2018,51575,25028.9,24.2297,28.5072,3.05432,1.39106,3.71386,7.8e+09,0.382
"217","CHL","latin",2008,182406,20840.4,18.788,41.4242,17.28,1.07138,3.52953,1.8e+10,0.425
"218","CHL","latin",2012,103650,23300.4,18.3066,34.1219,7.65205,0.96308,5.31863,3.1e+10,0.671
"219","CHL","latin",2005,121156,18634.6,19.1248,40.1598,2.86332,1.04195,5.74283,7.5e+09,0.196
"220","CHL","latin",2004,124319,17807.2,21.4463,39.8024,-1.92018,1.03767,7.20954,6.8e+09,0.505
"221","CHL","latin",2017,193213,24470.7,24.1115,28.4368,2.0303,1.42514,1.18454,6.1e+09,0.715
"222","CHL","latin",2007,136294,20346.7,15.1086,45.069,9.49674,1.06856,4.90532,1.3e+10,-0.287
"223","CHL","latin",2009,182563,20298.3,19.8686,37.0408,4.68336,1.05929,-1.56424,1.4e+10,0.441
"224","CHL","latin",2016,131419,24531.4,26.125,28.1486,3.82827,1.32521,1.71109,1.2e+10,0.879
"225","CHL","latin",2014,109869,24173.1,22.308,33.1107,6.9507,1.06118,1.76674,2.4e+10,0.467
"226","CHN","asia",2010,314588,8884.59,2.79842,27.1853,1102.47242732881,0.48296,10.6359,2.4e+11,0.94
"227","CHN","asia",2005,213781,5334.65,3.23319,33.8299,493.70048528414,0.588125,11.3946,1e+11,1.02
"228","CHN","asia",2006,233531,5979.78,2.87575,36.035,477.145954324615,0.558374,12.721,1.2e+11,1.203
"229","CHN","asia",2004,174825,4817.21,3.50822,31.0613,241.145484630521,0.593933,10.1136,6.8e+10,1.082
"230","CHN","asia",2009,412569,8069.35,2.93918,24.7499,566.741032809475,0.497381,9.39873,1.3e+11,1.309
"231","CHN","asia",2008,384075,7412.87,2.5084,32.6027,722.406078577285,0.512387,9.65068,1.7e+11,1.061
"232","CHN","asia",2007,224050,6795.17,2.71796,35.4348,742.818628866992,0.522272,14.2309,1.6e+11,1.508
"233","CHN","asia",2018,228494,15134,2.90089,19.1121,1058.50424579813,0.467672,6.74977,2.4e+11,1.349
"234","CHN","asia",2011,298450,9680.1,2.85336,26.5682,1163.00313911509,0.546458,9.55083,2.8e+11,0.761
"235","CHN","asia",2016,164538,13399.1,3.15618,19.5844,742.983300986167,0.573051,6.84876,1.7e+11,1.304
"236","CHN","asia",2014,272181,11851.4,2.71078,23.5101,1308.94566999902,0.630326,7.42576,2.7e+11,1.043
